"core-api-2022-03-23","all-2022.03.24-03:43:10.534"
"core-api-2022-03-24","all-2022.03.25-10:31:28.521"
"core-api-2022-03-25","all-2022.03.26-13:16:09.436"
"core-api-2022-03-26","all-2022.03.27-00:47:19.066"
"core-api-2022-03-27","all-2022.03.28-00:38:14.225"
"core-api-2022-03-28","all-2022.03.29-00:37:37.094"
"core-api-2022-03-29","all-2022.03.30-00:46:21.043"
"core-api-2022-03-30","all-2022.03.31-00:39:56.743"
"core-api-2022-03-31","all-2022.04.01-00:40:30.101"
"core-api-2022-04-01","all-2022.04.02-00:39:40.404"
"core-api-2022-04-02","all-2022.04.03-00:35:14.673"
"core-api-2022-04-03","all-2022.04.04-00:36:53.323"
"core-api-2022-04-04","all-2022.04.05-00:37:33.886"
"core-api-2022-04-05","all-2022.04.06-00:30:48.747"
"core-api-2022-04-06","all-2022.04.07-00:40:25.814"
"core-api-2022-04-07","all-2022.04.08-00:43:37.093"
"core-api-2022-04-08","all-2022.04.09-00:40:30.866"
"core-api-2022-04-09","all-2022.04.10-00:31:10.174"
"core-api-2022-04-10","all-2022.04.11-00:40:52.999"
"core-api-2022-04-11","all-2022.04.12-00:30:35.678"
"core-api-2022-04-12","all-2022.04.13-00:33:47.242"
"core-api-2022-04-13","all-2022.04.14-00:37:09.207"
"core-api-2022-04-14","all-2022.04.15-00:32:44.549"
"core-api-2022-04-15","all-2022.04.16-00:32:21.181"
"core-api-2022-04-16","all-2022.04.17-00:40:47.409"
"core-api-2022-04-17","all-2022.04.18-00:43:11.278"
"core-api-2022-04-18","all-2022.04.19-00:42:42.343"
"core-api-2022-04-19","all-2022.04.20-00:39:24.763"
"core-api-2022-04-20","all-2022.04.21-00:32:04.584"
"core-api-2022-04-21","all-2022.04.22-00:32:57.433"
"core-api-2022-04-22","all-2022.04.23-00:34:45.632"
"core-api-2022-04-23","all-2022.04.24-00:36:25.690"
"core-api-2022-04-24","all-2022.04.25-00:30:33.096"
"core-api-2022-04-25","all-2022.04.26-00:34:35.538"
"core-api-2022-04-26","all-2022.04.27-00:45:20.668"
"core-api-2022-04-27","all-2022.04.28-00:47:26.708"
"core-api-2022-04-28","all-2022.04.29-00:36:26.029"
"core-api-2022-04-29","all-2022.04.30-00:31:37.645"
"core-api-2022-04-30","all-2022.05.01-00:46:52.084"
"core-api-2022-05-01","all-2022.05.02-00:36:41.669"
"core-api-2022-05-02","all-2022.05.03-00:33:55.967"
"core-api-2022-05-03","all-2022.05.04-00:41:38.551"
"core-api-2022-05-04","all-2022.05.05-00:32:07.207"
"core-api-2022-05-05","all-2022.05.06-00:37:13.858"
"core-api-2022-05-06","all-2022.05.07-00:41:13.894"
"core-api-2022-05-07","all-2022.05.08-00:39:44.675"
"core-api-2022-05-08","all-2022.05.09-00:41:23.443"
"core-api-2022-05-09","all-2022.05.10-00:43:24.952"
"core-api-2022-05-10","all-2022.05.11-00:47:14.186"
"core-api-2022-05-11","all-2022.05.12-00:46:01.263"
"core-api-2022-05-12","all-2022.05.13-00:30:17.948"
"core-api-2022-05-13","all-2022.05.14-00:42:32.558"
"core-api-2022-05-14","all-2022.05.15-00:40:45.129"
"core-api-2022-05-15","all-2022.05.16-00:30:42.593"
"core-api-2022-05-16","all-2022.05.17-00:44:06.436"
"core-api-2022-05-17","all-2022.05.18-00:45:01.524"
"core-api-2022-05-18","all-2022.05.19-00:40:31.017"
"core-api-2022-05-19","all-2022.05.20-00:31:52.193"
"core-api-2022-05-20","all-2022.05.21-00:39:15.570"
"core-api-2022-05-21","all-2022.05.22-00:39:42.290"
"core-api-2022-05-22","all-2022.05.23-00:46:20.309"
"core-api-2022-05-23","all-2022.05.24-00:36:46.512"
"core-api-2022-05-24","all-2022.05.25-00:37:14.409"
"core-api-2022-05-25","all-2022.05.26-00:31:22.279"
"core-api-2022-05-26","all-2022.05.27-00:41:38.246"
"core-api-2022-05-27","all-2022.05.28-00:30:08.141"
"core-api-2022-05-28","all-2022.05.29-00:41:13.691"
"core-api-2022-05-29","all-2022.05.30-00:39:26.593"
"core-api-2022-05-30","all-2022.05.31-00:39:39.653"
"core-api-2022-05-31","all-2022.06.01-00:44:34.933"
"core-api-2022-06-01","all-2022.06.02-00:47:52.883"
"core-api-2022-06-02","all-2022.06.03-00:47:35.365"
"core-api-2022-06-03","all-2022.06.04-00:45:48.381"
"core-api-2022-06-04","all-2022.06.05-00:36:32.621"
"core-api-2022-06-05","all-2022.06.06-00:36:02.366"
"core-api-2022-06-06","all-2022.06.07-00:37:56.805"
"core-api-2022-06-07","all-2022.06.08-00:34:10.423"
"core-api-2022-06-08","all-2022.06.09-00:42:47.407"
